@relation Dataset_LbphTBARS
@attribute L numeric
@attribute b numeric
@attribute ph numeric
@attribute TBARS numeric
@attribute Class {'0','14','7'}
@data
54.1,15.3,5.59,0.667,'14'
53.4,14.7,5.88,0.707,'14'
52.7,15.5,5.8,0.744,'14'
54.7,13.5,5.89,0.462,'14'
54.9,12.7,5.82,0.447,'14'
54.3,14.4,5.84,0.443,'14'
51.9,13.2,5.83,0.501,'14'
50.6,10.1,5.87,0.527,'14'
53.2,12.5,5.8,0.5,'14'
52.1,12.6,5.9,0.45,'14'
54.9,13.3,5.69,0.499,'14'
54.1,15.4,5.77,0.464,'14'
52.3,17.3,5.7,0.398,'14'
56.5,14.2,5.58,0.412,'14'
55.4,13.1,5.98,0.407,'14'
56.6,16.4,5.61,0.494,'14'
54.5,13.1,5.7,0.338,'14'
52.7,14.4,5.84,0.519,'14'
55.9,16.4,5.72,0.373,'14'
54.1,13.2,5.7,0.402,'14'
53.2,12,6.02,0.411,'14'
55.8,17.9,5.62,0.549,'14'
52.4,14.7,5.53,0.474,'14'
53.2,12.7,5.54,0.32,'14'
52.8,16.1,5.75,0.32,'14'
51.3,14.7,5.74,0.333,'14'
51.1,12,5.7,0.512,'14'
53.4,13.9,5.7,0.393,'14'
52.7,12.3,5.63,0.478,'14'
55.9,12.2,5.75,0.387,'14'
50.7,11,5.86,0.427,'14'
54.2,13.5,5.88,0.396,'14'
51.6,13.1,5.82,0.541,'14'
54.1,15.3,5.59,0.667,'14'
54.2,15.5,5.71,0.422,'14'
56,16.2,5.68,0.528,'14'
54.5,13.7,5.68,0.423,'14'
50.3,15.6,5.8,0.408,'14'
51.8,13.2,5.96,0.38,'14'
54.4,12.6,5.8,0.277,'14'
54,13.5,6.01,0.418,'14'
54.4,16,5.81,0.618,'14'
53.4,14.7,5.88,0.707,'14'
52,11.1,5.9,0.44,'14'
54.4,14.5,5.63,0.342,'14'
