@relation Dataset_Lph
@attribute L numeric
@attribute ph numeric
@attribute Class {'0','14','7'}
@data
51.4,5.83,'14'
54.4,5.7,'14'
52,5.9,'14'
54.3,5.84,'14'
54.9,5.82,'14'
52.1,5.9,'14'
54.7,5.89,'14'
54.1,5.77,'14'
52.4,5.53,'14'
52.7,5.63,'14'
56.6,5.61,'14'
56.2,5.67,'14'
54.9,5.69,'14'
53.2,5.8,'14'
51.9,5.83,'14'
51.1,5.7,'14'
52.7,5.84,'14'
50.6,5.87,'14'
56,5.68,'14'
51.6,5.82,'14'
55.8,5.62,'14'
54.4,5.81,'14'
54.1,5.59,'14'
53.4,5.88,'14'
52.7,5.8,'14'
54.7,5.89,'14'
54.9,5.82,'14'
54.3,5.84,'14'
51.9,5.83,'14'
50.6,5.87,'14'
53.2,5.8,'14'
52.1,5.9,'14'
54.9,5.69,'14'
54.1,5.77,'14'
52.3,5.7,'14'
56.5,5.58,'14'
55.4,5.98,'14'
56.6,5.61,'14'
54.5,5.7,'14'
52.7,5.84,'14'
55.9,5.72,'14'
54.1,5.7,'14'
53.2,6.02,'14'
55.8,5.62,'14'
52.4,5.53,'14'
53.2,5.54,'14'
52.8,5.75,'14'
51.3,5.74,'14'
51.1,5.7,'14'
53.4,5.7,'14'
52.7,5.63,'14'
55.9,5.75,'14'
50.7,5.86,'14'
54.2,5.88,'14'
51.6,5.82,'14'
54.1,5.59,'14'
54.2,5.71,'14'
56,5.68,'14'
54.5,5.68,'14'
50.3,5.8,'14'
51.8,5.96,'14'
54.4,5.8,'14'
54,6.01,'14'
54.4,5.81,'14'
53.4,5.88,'14'
52,5.9,'14'
54.4,5.63,'14'
