@relation R_data_frame

@attribute L numeric
@attribute ph numeric
@attribute TBARS numeric
@attribute Class {1,2,3}

@data
49,5.9,0.516,3
53.2,5.86,0.525,3
55.7,5.69,0.534,3
52.8,5.84,0.536,3
51,5.6,0.546,3
53.9,5.69,0.584,3
51.2,5.79,0.592,3
55.1,5.75,0.623,3
52.1,5.73,0.628,3
49.9,5.77,0.645,3
51.5,5.61,0.691,3
52.8,5.84,0.536,3
51.5,5.61,0.691,3
52.5,5.87,0.486,3
53.8,5.74,0.427,3
51,5.88,0.306,3
51.3,5.75,0.381,3
51.2,5.79,0.592,3
47.1,5.85,0.385,3
49.9,5.77,0.645,3
47.2,5.86,0.331,3
53.9,5.63,0.407,3
55.7,5.69,0.534,3
52.9,5.82,0.331,3
52.1,5.79,0.359,3
48.5,5.84,0.445,3
50.2,5.88,0.336,3
55.1,5.75,0.623,3
52.1,5.75,0.328,3
48.7,5.86,0.415,3
49,5.9,0.516,3
55.3,5.75,0.316,3
49.7,5.95,0.276,3
49.2,5.72,0.336,3
52.7,5.82,0.4,3
51.2,5.71,0.478,3
53.6,5.73,0.495,3
52.3,5.79,0.431,3
48.3,5.88,0.331,3
47.6,5.9,0.384,3
52.1,5.73,0.628,3
51,5.89,0.321,3
51.9,5.78,0.308,3
50.7,5.71,0.38,3
54.4,5.8,0.277,2
53.2,5.54,0.32,2
52.8,5.75,0.32,2
51.3,5.74,0.333,2
54.5,5.7,0.338,2
54.4,5.63,0.342,2
54,5.8,0.367,2
55.9,5.72,0.373,2
51.8,5.96,0.38,2
55.3,5.98,0.381,2
55.9,5.75,0.387,2
55.1,5.76,0.388,2
53.4,5.7,0.393,2
54.2,5.88,0.396,2
52.3,5.7,0.398,2
54.1,5.7,0.402,2
54.6,5.7,0.404,2
55.4,5.98,0.407,2
50.3,5.8,0.408,2
53.2,6.02,0.411,2
56.5,5.58,0.412,2
54,6.01,0.418,2
51.9,5.77,0.419,2
54.2,5.71,0.422,2
54.5,5.68,0.423,2
50.7,5.86,0.427,2
51.4,5.83,0.428,2
54.4,5.7,0.436,2
52,5.9,0.44,2
54.3,5.84,0.443,2
54.9,5.82,0.447,2
52.1,5.9,0.45,2
54.7,5.89,0.462,2
54.1,5.77,0.464,2
52.4,5.53,0.474,2
52.7,5.63,0.478,2
56.6,5.61,0.494,2
56.2,5.67,0.498,2
54.9,5.69,0.499,2
53.2,5.8,0.5,2
51.9,5.83,0.501,2
51.1,5.7,0.512,2
52.7,5.84,0.519,2
50.6,5.87,0.527,2
56,5.68,0.528,2
51.6,5.82,0.541,2
55.8,5.62,0.549,2
54.4,5.81,0.618,2
54.1,5.59,0.667,2
53.4,5.88,0.707,2
52.7,5.8,0.744,2
54.7,5.89,0.462,2
54.9,5.82,0.447,2
54.3,5.84,0.443,2
51.9,5.83,0.501,2
50.6,5.87,0.527,2
53.2,5.8,0.5,2
52.1,5.9,0.45,2
54.9,5.69,0.499,2
54.1,5.77,0.464,2
52.3,5.7,0.398,2
56.5,5.58,0.412,2
55.4,5.98,0.407,2
56.6,5.61,0.494,2
54.5,5.7,0.338,2
52.7,5.84,0.519,2
55.9,5.72,0.373,2
54.1,5.7,0.402,2
53.2,6.02,0.411,2
55.8,5.62,0.549,2
52.4,5.53,0.474,2
53.2,5.54,0.32,2
52.8,5.75,0.32,2
51.3,5.74,0.333,2
51.1,5.7,0.512,2
53.4,5.7,0.393,2
52.7,5.63,0.478,2
55.9,5.75,0.387,2
50.7,5.86,0.427,2
54.2,5.88,0.396,2
51.6,5.82,0.541,2
54.1,5.59,0.667,2
54.2,5.71,0.422,2
56,5.68,0.528,2
54.5,5.68,0.423,2
50.3,5.8,0.408,2
51.8,5.96,0.38,2
54.4,5.8,0.277,2
54,6.01,0.418,2
54.4,5.81,0.618,2
53.4,5.88,0.707,2
52,5.9,0.44,2
54.4,5.63,0.342,2
