@relation Dataset_LbPAPphTBARS
@attribute L numeric
@attribute b numeric
@attribute PAP numeric
@attribute ph numeric
@attribute TBARS numeric
@attribute Class {'0','14','7'}
@data
51.9,13.2,21.93,5.83,0.501,'14'
50.6,10.1,20.02,5.87,0.527,'14'
53.2,12.5,26.45,5.8,0.5,'14'
52.1,12.6,24.7,5.9,0.45,'14'
54.9,13.3,28.75,5.69,0.499,'14'
54.1,15.4,24.42,5.77,0.464,'14'
52.3,17.3,27.86,5.7,0.398,'14'
56.5,14.2,20.79,5.58,0.412,'14'
55.4,13.1,26.48,5.98,0.407,'14'
56.6,16.4,30.37,5.61,0.494,'14'
54.5,13.1,29.99,5.7,0.338,'14'
52.7,14.4,24.9,5.84,0.519,'14'
55.9,16.4,28.49,5.72,0.373,'14'
54.1,13.2,27.24,5.7,0.402,'14'
53.2,12,21.07,6.02,0.411,'14'
55.8,17.9,30.1,5.62,0.549,'14'
52.4,14.7,34.52,5.53,0.474,'14'
53.2,12.7,33.31,5.54,0.32,'14'
52.8,16.1,33.04,5.75,0.32,'14'
51.3,14.7,29.02,5.74,0.333,'14'
51.1,12,32.73,5.7,0.512,'14'
53.4,13.9,23.58,5.7,0.393,'14'
52.7,12.3,24.92,5.63,0.478,'14'
55.9,12.2,31.6,5.75,0.387,'14'
50.7,11,28.22,5.86,0.427,'14'
54.2,13.5,22.69,5.88,0.396,'14'
51.6,13.1,29.42,5.82,0.541,'14'
54.1,15.3,32.84,5.59,0.667,'14'
54.2,15.5,28.43,5.71,0.422,'14'
56,16.2,32.41,5.68,0.528,'14'
54.5,13.7,26.36,5.68,0.423,'14'
50.3,15.6,30.4,5.8,0.408,'14'
51.8,13.2,24.73,5.96,0.38,'14'
54.4,12.6,33.47,5.8,0.277,'14'
54,13.5,28.22,6.01,0.418,'14'
54.4,16,30.14,5.81,0.618,'14'
53.4,14.7,30.39,5.88,0.707,'14'
52,11.1,27.53,5.9,0.44,'14'
54.4,14.5,22.94,5.63,0.342,'14'
