@relation Dataset_LabPAPph
@attribute L numeric
@attribute a numeric
@attribute b numeric
@attribute PAP numeric
@attribute ph numeric
@attribute Class {'0','14','7'}
@data
51,5.3,12.4,27.82,5.89,'7'
52.1,4.3,13.1,28.01,5.75,'7'
52.9,4.8,12.9,26.45,5.82,'7'
47.2,5.8,11.2,27.14,5.86,'7'
48.3,7.3,10.8,31.07,5.88,'7'
49.2,5.8,11.9,25.2,5.72,'7'
50.2,4.7,11.8,29.83,5.88,'7'
52.1,5.8,12.5,27.63,5.79,'7'
52.4,7.2,15.6,27.79,5.75,'7'
50.7,5.5,12.5,27.08,5.71,'7'
51.3,4.3,12.1,30.85,5.75,'7'
47.6,4.7,11.1,30.26,5.9,'7'
47.1,4.5,10,24.29,5.85,'7'
53,4.6,13.9,29.69,5.77,'7'
52.7,4.7,11.9,27.91,5.82,'7'
53.9,4.2,13.9,28.72,5.63,'7'
48.7,4.4,11.2,22.57,5.86,'7'
48.8,6,12.1,26.79,5.77,'7'
53.7,6.6,14.5,26.03,5.8,'7'
52.7,4.5,12.7,23.86,5.79,'7'
53.8,4.2,13.1,27.14,5.74,'7'
52.3,4.6,12.2,25.89,5.79,'7'
50.9,3.5,10.5,26.59,5.84,'7'
51.5,6.6,13.6,26.86,5.82,'7'
48.5,7.1,11.6,27.84,5.84,'7'
51.2,6.4,14.8,29.43,5.71,'7'
52.5,4.2,12.6,29.8,5.87,'7'
53.6,5.8,14.8,22.54,5.73,'7'
51.8,5.9,13.1,29.11,5.66,'7'
49,6,10.5,24.55,5.9,'7'
53.2,4.6,12.7,25.11,5.86,'7'
55.7,5.9,14.2,24.91,5.69,'7'
52.8,5.1,13.8,27.21,5.84,'7'
51,4.4,12.1,29.56,5.6,'7'
53.9,4.5,13.3,27.67,5.69,'7'
51.2,7.1,13.2,26.28,5.79,'7'
55.1,5.9,14.6,25.79,5.75,'7'
52.1,4.9,13.4,28.89,5.73,'7'
49.9,5.4,11.9,28.57,5.77,'7'
51.5,5.9,13.2,26.47,5.61,'7'
52.8,5.1,13.8,27.21,5.84,'7'
51.5,5.9,13.2,26.47,5.61,'7'
52.5,4.2,12.6,29.8,5.87,'7'
53.8,4.2,13.1,27.14,5.74,'7'
51,5.2,12.8,29.48,5.88,'7'
51.3,4.3,12.1,30.85,5.75,'7'
51.2,7.1,13.2,26.28,5.79,'7'
47.1,4.5,10,24.29,5.85,'7'
49.9,5.4,11.9,28.57,5.77,'7'
47.2,5.8,11.2,27.14,5.86,'7'
53.9,4.2,13.9,28.72,5.63,'7'
55.7,5.9,14.2,24.91,5.69,'7'
52.9,4.8,12.9,26.45,5.82,'7'
52.1,5.8,12.5,27.63,5.79,'7'
48.5,7.1,11.6,27.84,5.84,'7'
50.2,4.7,11.8,29.83,5.88,'7'
55.1,5.9,14.6,25.79,5.75,'7'
52.1,4.3,13.1,28.01,5.75,'7'
48.7,4.4,11.2,22.57,5.86,'7'
49,6,10.5,24.55,5.9,'7'
55.3,5,14.2,25.23,5.75,'7'
49.7,5.4,11.7,28.14,5.95,'7'
49.2,5.8,11.9,25.2,5.72,'7'
52.7,4.7,11.9,27.91,5.82,'7'
51.2,6.4,14.8,29.43,5.71,'7'
53.6,5.8,14.8,22.54,5.73,'7'
52.3,4.6,12.2,25.89,5.79,'7'
48.3,7.3,10.8,31.07,5.88,'7'
47.6,4.7,11.1,30.26,5.9,'7'
52.1,4.9,13.4,28.89,5.73,'7'
51,5.3,12.4,27.82,5.89,'7'
51.9,3.9,11.1,29.55,5.78,'7'
50.7,5.5,12.5,27.08,5.71,'7'
54.4,4.5,12.6,33.47,5.8,'14'
53.2,5.5,12.7,33.31,5.54,'14'
52.8,5.5,16.1,33.04,5.75,'14'
51.3,5.3,14.7,29.02,5.74,'14'
54.5,6.8,13.1,29.99,5.7,'14'
54.4,4.7,14.5,22.94,5.63,'14'
54,4.2,12.7,22.78,5.8,'14'
55.9,5.8,16.4,28.49,5.72,'14'
51.8,6.8,13.2,24.73,5.96,'14'
55.3,3.5,12.2,24.95,5.98,'14'
55.9,4.1,12.2,31.6,5.75,'14'
55.1,5.8,13.8,25.41,5.76,'14'
53.4,5.9,13.9,23.58,5.7,'14'
54.2,6.7,13.5,22.69,5.88,'14'
52.3,8.8,17.3,27.86,5.7,'14'
54.1,6.3,13.2,27.24,5.7,'14'
54.6,7.6,16,31.26,5.7,'14'
55.4,4.1,13.1,26.48,5.98,'14'
50.3,8.4,15.6,30.4,5.8,'14'
53.2,4.6,12,21.07,6.02,'14'
56.5,4.6,14.2,20.79,5.58,'14'
54,4.9,13.5,28.22,6.01,'14'
51.9,5.5,12.2,27.17,5.77,'14'
54.2,6.6,15.5,28.43,5.71,'14'
54.5,4.2,13.7,26.36,5.68,'14'
50.7,4.8,11,28.22,5.86,'14'
51.4,6.8,14.3,29.43,5.83,'14'
54.4,5.2,14.2,29.28,5.7,'14'
52,3.9,11.1,27.53,5.9,'14'
54.3,5.3,14.4,25.9,5.84,'14'
54.9,4.5,12.7,29.42,5.82,'14'
52.1,6.3,12.6,24.7,5.9,'14'
54.7,3.8,13.5,28,5.89,'14'
54.1,6.7,15.4,24.42,5.77,'14'
52.4,6.8,14.7,34.52,5.53,'14'
52.7,7.8,12.3,24.92,5.63,'14'
56.6,8.3,16.4,30.37,5.61,'14'
56.2,5,14.5,31.57,5.67,'14'
54.9,4.4,13.3,28.75,5.69,'14'
53.2,5.7,12.5,26.45,5.8,'14'
51.9,6.1,13.2,21.93,5.83,'14'
51.1,5,12,32.73,5.7,'14'
52.7,7.7,14.4,24.9,5.84,'14'
50.6,4.3,10.1,20.02,5.87,'14'
56,6.1,16.2,32.41,5.68,'14'
51.6,5.7,13.1,29.42,5.82,'14'
55.8,6.5,17.9,30.1,5.62,'14'
54.4,6,16,30.14,5.81,'14'
54.1,5.4,15.3,32.84,5.59,'14'
