@relation R_data_frame

@attribute L numeric
@attribute b numeric
@attribute TBARS numeric
@attribute Class {1,2,3}

@data
51.3,12.1,0.381,3
51.2,13.2,0.592,3
47.1,10,0.385,3
49.9,11.9,0.645,3
47.2,11.2,0.331,3
53.9,13.9,0.407,3
55.7,14.2,0.534,3
52.9,12.9,0.331,3
52.1,12.5,0.359,3
48.5,11.6,0.445,3
50.2,11.8,0.336,3
55.1,14.6,0.623,3
52.1,13.1,0.328,3
48.7,11.2,0.415,3
49,10.5,0.516,3
55.3,14.2,0.316,3
49.7,11.7,0.276,3
49.2,11.9,0.336,3
52.7,11.9,0.4,3
51.2,14.8,0.478,3
53.6,14.8,0.495,3
52.3,12.2,0.431,3
48.3,10.8,0.331,3
47.6,11.1,0.384,3
52.1,13.4,0.628,3
51,12.4,0.321,3
51.9,11.1,0.308,3
50.7,12.5,0.38,3
54.4,12.6,0.277,2
53.2,12.7,0.32,2
52.8,16.1,0.32,2
51.3,14.7,0.333,2
54.5,13.1,0.338,2
54.4,14.5,0.342,2
54,12.7,0.367,2
55.9,16.4,0.373,2
51.8,13.2,0.38,2
55.3,12.2,0.381,2
55.9,12.2,0.387,2
55.1,13.8,0.388,2
53.4,13.9,0.393,2
54.2,13.5,0.396,2
52.3,17.3,0.398,2
54.1,13.2,0.402,2
54.6,16,0.404,2
55.4,13.1,0.407,2
50.3,15.6,0.408,2
53.2,12,0.411,2
56.5,14.2,0.412,2
54,13.5,0.418,2
51.9,12.2,0.419,2
54.2,15.5,0.422,2
54.5,13.7,0.423,2
50.7,11,0.427,2
51.4,14.3,0.428,2
54.4,14.2,0.436,2
52,11.1,0.44,2
54.3,14.4,0.443,2
54.9,12.7,0.447,2
52.1,12.6,0.45,2
54.7,13.5,0.462,2
54.1,15.4,0.464,2
52.4,14.7,0.474,2
52.7,12.3,0.478,2
56.6,16.4,0.494,2
56.2,14.5,0.498,2
54.9,13.3,0.499,2
53.2,12.5,0.5,2
51.9,13.2,0.501,2
51.1,12,0.512,2
52.7,14.4,0.519,2
50.6,10.1,0.527,2
56,16.2,0.528,2
51.6,13.1,0.541,2
55.8,17.9,0.549,2
54.4,16,0.618,2
54.1,15.3,0.667,2
53.4,14.7,0.707,2
52.7,15.5,0.744,2
54.7,13.5,0.462,2
54.9,12.7,0.447,2
54.3,14.4,0.443,2
51.9,13.2,0.501,2
50.6,10.1,0.527,2
53.2,12.5,0.5,2
52.1,12.6,0.45,2
54.9,13.3,0.499,2
54.1,15.4,0.464,2
52.3,17.3,0.398,2
56.5,14.2,0.412,2
55.4,13.1,0.407,2
56.6,16.4,0.494,2
54.5,13.1,0.338,2
52.7,14.4,0.519,2
55.9,16.4,0.373,2
54.1,13.2,0.402,2
53.2,12,0.411,2
55.8,17.9,0.549,2
52.4,14.7,0.474,2
53.2,12.7,0.32,2
52.8,16.1,0.32,2
51.3,14.7,0.333,2
51.1,12,0.512,2
53.4,13.9,0.393,2
52.7,12.3,0.478,2
55.9,12.2,0.387,2
50.7,11,0.427,2
54.2,13.5,0.396,2
51.6,13.1,0.541,2
54.1,15.3,0.667,2
54.2,15.5,0.422,2
56,16.2,0.528,2
54.5,13.7,0.423,2
50.3,15.6,0.408,2
51.8,13.2,0.38,2
54.4,12.6,0.277,2
54,13.5,0.418,2
54.4,16,0.618,2
53.4,14.7,0.707,2
52,11.1,0.44,2
54.4,14.5,0.342,2
