@relation Dataset_PAPphTBARS
@attribute PAP numeric
@attribute ph numeric
@attribute TBARS numeric
@attribute Class {'0','14','7'}
@data
31.07,5.88,0.331,'7'
30.26,5.9,0.384,'7'
28.89,5.73,0.628,'7'
27.82,5.89,0.321,'7'
29.55,5.78,0.308,'7'
27.08,5.71,0.38,'7'
33.47,5.8,0.277,'14'
33.31,5.54,0.32,'14'
33.04,5.75,0.32,'14'
29.02,5.74,0.333,'14'
29.99,5.7,0.338,'14'
22.94,5.63,0.342,'14'
22.78,5.8,0.367,'14'
28.49,5.72,0.373,'14'
24.73,5.96,0.38,'14'
24.95,5.98,0.381,'14'
31.6,5.75,0.387,'14'
25.41,5.76,0.388,'14'
23.58,5.7,0.393,'14'
22.69,5.88,0.396,'14'
27.86,5.7,0.398,'14'
27.24,5.7,0.402,'14'
31.26,5.7,0.404,'14'
26.48,5.98,0.407,'14'
30.4,5.8,0.408,'14'
21.07,6.02,0.411,'14'
20.79,5.58,0.412,'14'
28.22,6.01,0.418,'14'
27.17,5.77,0.419,'14'
28.43,5.71,0.422,'14'
26.36,5.68,0.423,'14'
28.22,5.86,0.427,'14'
29.43,5.83,0.428,'14'
29.28,5.7,0.436,'14'
27.53,5.9,0.44,'14'
25.9,5.84,0.443,'14'
29.42,5.82,0.447,'14'
24.7,5.9,0.45,'14'
28,5.89,0.462,'14'
24.42,5.77,0.464,'14'
34.52,5.53,0.474,'14'
24.92,5.63,0.478,'14'
30.37,5.61,0.494,'14'
31.57,5.67,0.498,'14'
28.75,5.69,0.499,'14'
26.45,5.8,0.5,'14'
21.93,5.83,0.501,'14'
32.73,5.7,0.512,'14'
24.9,5.84,0.519,'14'
20.02,5.87,0.527,'14'
32.41,5.68,0.528,'14'
29.42,5.82,0.541,'14'
30.1,5.62,0.549,'14'
30.14,5.81,0.618,'14'
32.84,5.59,0.667,'14'
30.39,5.88,0.707,'14'
26.11,5.8,0.744,'14'
28,5.89,0.462,'14'
29.42,5.82,0.447,'14'
25.9,5.84,0.443,'14'
21.93,5.83,0.501,'14'
20.02,5.87,0.527,'14'
26.45,5.8,0.5,'14'
24.7,5.9,0.45,'14'
28.75,5.69,0.499,'14'
24.42,5.77,0.464,'14'
27.86,5.7,0.398,'14'
20.79,5.58,0.412,'14'
26.48,5.98,0.407,'14'
30.37,5.61,0.494,'14'
29.99,5.7,0.338,'14'
24.9,5.84,0.519,'14'
28.49,5.72,0.373,'14'
27.24,5.7,0.402,'14'
21.07,6.02,0.411,'14'
30.1,5.62,0.549,'14'
34.52,5.53,0.474,'14'
33.31,5.54,0.32,'14'
33.04,5.75,0.32,'14'
29.02,5.74,0.333,'14'
32.73,5.7,0.512,'14'
23.58,5.7,0.393,'14'
24.92,5.63,0.478,'14'
31.6,5.75,0.387,'14'
28.22,5.86,0.427,'14'
22.69,5.88,0.396,'14'
29.42,5.82,0.541,'14'
32.84,5.59,0.667,'14'
28.43,5.71,0.422,'14'
32.41,5.68,0.528,'14'
26.36,5.68,0.423,'14'
30.4,5.8,0.408,'14'
24.73,5.96,0.38,'14'
33.47,5.8,0.277,'14'
28.22,6.01,0.418,'14'
30.14,5.81,0.618,'14'
30.39,5.88,0.707,'14'
27.53,5.9,0.44,'14'
22.94,5.63,0.342,'14'
