@relation Dataset_Lbph
@attribute L numeric
@attribute b numeric
@attribute ph numeric
@attribute Class {'0','14','7'}
@data
51,12.8,5.88,'7'
51.9,11.1,5.78,'7'
55.3,14.2,5.75,'7'
51,12.4,5.89,'7'
52.1,13.1,5.75,'7'
52.9,12.9,5.82,'7'
47.2,11.2,5.86,'7'
48.3,10.8,5.88,'7'
49.2,11.9,5.72,'7'
50.2,11.8,5.88,'7'
52.1,12.5,5.79,'7'
52.4,15.6,5.75,'7'
50.7,12.5,5.71,'7'
51.3,12.1,5.75,'7'
47.6,11.1,5.9,'7'
47.1,10,5.85,'7'
53,13.9,5.77,'7'
52.7,11.9,5.82,'7'
53.9,13.9,5.63,'7'
48.7,11.2,5.86,'7'
48.8,12.1,5.77,'7'
53.7,14.5,5.8,'7'
52.7,12.7,5.79,'7'
53.8,13.1,5.74,'7'
52.3,12.2,5.79,'7'
50.9,10.5,5.84,'7'
51.5,13.6,5.82,'7'
48.5,11.6,5.84,'7'
51.2,14.8,5.71,'7'
52.5,12.6,5.87,'7'
53.6,14.8,5.73,'7'
51.8,13.1,5.66,'7'
49,10.5,5.9,'7'
53.2,12.7,5.86,'7'
55.7,14.2,5.69,'7'
52.8,13.8,5.84,'7'
51,12.1,5.6,'7'
53.9,13.3,5.69,'7'
51.2,13.2,5.79,'7'
55.1,14.6,5.75,'7'
52.1,13.4,5.73,'7'
49.9,11.9,5.77,'7'
51.5,13.2,5.61,'7'
52.8,13.8,5.84,'7'
51.5,13.2,5.61,'7'
52.5,12.6,5.87,'7'
53.8,13.1,5.74,'7'
51,12.8,5.88,'7'
51.3,12.1,5.75,'7'
51.2,13.2,5.79,'7'
47.1,10,5.85,'7'
49.9,11.9,5.77,'7'
47.2,11.2,5.86,'7'
53.9,13.9,5.63,'7'
55.7,14.2,5.69,'7'
52.9,12.9,5.82,'7'
52.1,12.5,5.79,'7'
48.5,11.6,5.84,'7'
50.2,11.8,5.88,'7'
55.1,14.6,5.75,'7'
52.1,13.1,5.75,'7'
48.7,11.2,5.86,'7'
49,10.5,5.9,'7'
55.3,14.2,5.75,'7'
49.7,11.7,5.95,'7'
49.2,11.9,5.72,'7'
52.7,11.9,5.82,'7'
51.2,14.8,5.71,'7'
53.6,14.8,5.73,'7'
52.3,12.2,5.79,'7'
48.3,10.8,5.88,'7'
47.6,11.1,5.9,'7'
52.1,13.4,5.73,'7'
51,12.4,5.89,'7'
51.9,11.1,5.78,'7'
50.7,12.5,5.71,'7'
54.4,12.6,5.8,'14'
53.2,12.7,5.54,'14'
52.8,16.1,5.75,'14'
