@relation Dataset_LabPAP
@attribute L numeric
@attribute a numeric
@attribute b numeric
@attribute PAP numeric
@attribute Class {'0','14','7'}
@data
54.1,5.4,15.3,32.84,'14'
53.4,6.5,14.7,30.39,'14'
52.7,7.5,15.5,26.11,'14'
54.7,3.8,13.5,28,'14'
54.9,4.5,12.7,29.42,'14'
54.3,5.3,14.4,25.9,'14'
51.9,6.1,13.2,21.93,'14'
50.6,4.3,10.1,20.02,'14'
53.2,5.7,12.5,26.45,'14'
52.1,6.3,12.6,24.7,'14'
54.9,4.4,13.3,28.75,'14'
54.1,6.7,15.4,24.42,'14'
52.3,8.8,17.3,27.86,'14'
56.5,4.6,14.2,20.79,'14'
55.4,4.1,13.1,26.48,'14'
56.6,8.3,16.4,30.37,'14'
54.5,6.8,13.1,29.99,'14'
52.7,7.7,14.4,24.9,'14'
55.9,5.8,16.4,28.49,'14'
54.1,6.3,13.2,27.24,'14'
53.2,4.6,12,21.07,'14'
55.8,6.5,17.9,30.1,'14'
52.4,6.8,14.7,34.52,'14'
53.2,5.5,12.7,33.31,'14'
52.8,5.5,16.1,33.04,'14'
51.3,5.3,14.7,29.02,'14'
51.1,5,12,32.73,'14'
53.4,5.9,13.9,23.58,'14'
52.7,7.8,12.3,24.92,'14'
55.9,4.1,12.2,31.6,'14'
50.7,4.8,11,28.22,'14'
54.2,6.7,13.5,22.69,'14'
51.6,5.7,13.1,29.42,'14'
54.1,5.4,15.3,32.84,'14'
54.2,6.6,15.5,28.43,'14'
56,6.1,16.2,32.41,'14'
54.5,4.2,13.7,26.36,'14'
50.3,8.4,15.6,30.4,'14'
51.8,6.8,13.2,24.73,'14'
54.4,4.5,12.6,33.47,'14'
54,4.9,13.5,28.22,'14'
54.4,6,16,30.14,'14'
53.4,6.5,14.7,30.39,'14'
52,3.9,11.1,27.53,'14'
54.4,4.7,14.5,22.94,'14'
