@relation Dataset_abTBARS
@attribute a numeric
@attribute b numeric
@attribute TBARS numeric
@attribute Class {'0','14','7'}
@data
7.7,14.4,0.519,'14'
4.3,10.1,0.527,'14'
6.1,16.2,0.528,'14'
5.7,13.1,0.541,'14'
6.5,17.9,0.549,'14'
6,16,0.618,'14'
5.4,15.3,0.667,'14'
6.5,14.7,0.707,'14'
7.5,15.5,0.744,'14'
3.8,13.5,0.462,'14'
4.5,12.7,0.447,'14'
5.3,14.4,0.443,'14'
6.1,13.2,0.501,'14'
4.3,10.1,0.527,'14'
5.7,12.5,0.5,'14'
6.3,12.6,0.45,'14'
4.4,13.3,0.499,'14'
6.7,15.4,0.464,'14'
8.8,17.3,0.398,'14'
4.6,14.2,0.412,'14'
4.1,13.1,0.407,'14'
8.3,16.4,0.494,'14'
6.8,13.1,0.338,'14'
7.7,14.4,0.519,'14'
5.8,16.4,0.373,'14'
6.3,13.2,0.402,'14'
4.6,12,0.411,'14'
6.5,17.9,0.549,'14'
6.8,14.7,0.474,'14'
5.5,12.7,0.32,'14'
5.5,16.1,0.32,'14'
5.3,14.7,0.333,'14'
5,12,0.512,'14'
5.9,13.9,0.393,'14'
7.8,12.3,0.478,'14'
4.1,12.2,0.387,'14'
4.8,11,0.427,'14'
6.7,13.5,0.396,'14'
5.7,13.1,0.541,'14'
5.4,15.3,0.667,'14'
6.6,15.5,0.422,'14'
6.1,16.2,0.528,'14'
4.2,13.7,0.423,'14'
8.4,15.6,0.408,'14'
6.8,13.2,0.38,'14'
4.5,12.6,0.277,'14'
4.9,13.5,0.418,'14'
6,16,0.618,'14'
6.5,14.7,0.707,'14'
3.9,11.1,0.44,'14'
4.7,14.5,0.342,'14'
