@relation Dataset_Labph
@attribute L numeric
@attribute a numeric
@attribute b numeric
@attribute ph numeric
@attribute Class {'0','14','7'}
@data
56,6.1,16.2,5.68,'14'
51.6,5.7,13.1,5.82,'14'
55.8,6.5,17.9,5.62,'14'
54.4,6,16,5.81,'14'
54.1,5.4,15.3,5.59,'14'
53.4,6.5,14.7,5.88,'14'
52.7,7.5,15.5,5.8,'14'
54.7,3.8,13.5,5.89,'14'
54.9,4.5,12.7,5.82,'14'
54.3,5.3,14.4,5.84,'14'
51.9,6.1,13.2,5.83,'14'
50.6,4.3,10.1,5.87,'14'
53.2,5.7,12.5,5.8,'14'
52.1,6.3,12.6,5.9,'14'
54.9,4.4,13.3,5.69,'14'
54.1,6.7,15.4,5.77,'14'
52.3,8.8,17.3,5.7,'14'
56.5,4.6,14.2,5.58,'14'
55.4,4.1,13.1,5.98,'14'
56.6,8.3,16.4,5.61,'14'
54.5,6.8,13.1,5.7,'14'
52.7,7.7,14.4,5.84,'14'
55.9,5.8,16.4,5.72,'14'
54.1,6.3,13.2,5.7,'14'
53.2,4.6,12,6.02,'14'
55.8,6.5,17.9,5.62,'14'
52.4,6.8,14.7,5.53,'14'
53.2,5.5,12.7,5.54,'14'
52.8,5.5,16.1,5.75,'14'
51.3,5.3,14.7,5.74,'14'
51.1,5,12,5.7,'14'
53.4,5.9,13.9,5.7,'14'
52.7,7.8,12.3,5.63,'14'
55.9,4.1,12.2,5.75,'14'
50.7,4.8,11,5.86,'14'
54.2,6.7,13.5,5.88,'14'
51.6,5.7,13.1,5.82,'14'
54.1,5.4,15.3,5.59,'14'
54.2,6.6,15.5,5.71,'14'
56,6.1,16.2,5.68,'14'
54.5,4.2,13.7,5.68,'14'
50.3,8.4,15.6,5.8,'14'
51.8,6.8,13.2,5.96,'14'
54.4,4.5,12.6,5.8,'14'
54,4.9,13.5,6.01,'14'
54.4,6,16,5.81,'14'
53.4,6.5,14.7,5.88,'14'
52,3.9,11.1,5.9,'14'
54.4,4.7,14.5,5.63,'14'
