@relation Dataset_LbPAP
@attribute L numeric
@attribute b numeric
@attribute PAP numeric
@attribute Class {'0','14','7'}
@data
50.6,10.1,20.02,'14'
56,16.2,32.41,'14'
51.6,13.1,29.42,'14'
55.8,17.9,30.1,'14'
54.4,16,30.14,'14'
54.1,15.3,32.84,'14'
53.4,14.7,30.39,'14'
52.7,15.5,26.11,'14'
54.7,13.5,28,'14'
54.9,12.7,29.42,'14'
54.3,14.4,25.9,'14'
51.9,13.2,21.93,'14'
50.6,10.1,20.02,'14'
53.2,12.5,26.45,'14'
52.1,12.6,24.7,'14'
54.9,13.3,28.75,'14'
54.1,15.4,24.42,'14'
52.3,17.3,27.86,'14'
56.5,14.2,20.79,'14'
55.4,13.1,26.48,'14'
56.6,16.4,30.37,'14'
54.5,13.1,29.99,'14'
52.7,14.4,24.9,'14'
55.9,16.4,28.49,'14'
54.1,13.2,27.24,'14'
53.2,12,21.07,'14'
55.8,17.9,30.1,'14'
52.4,14.7,34.52,'14'
53.2,12.7,33.31,'14'
52.8,16.1,33.04,'14'
51.3,14.7,29.02,'14'
51.1,12,32.73,'14'
53.4,13.9,23.58,'14'
52.7,12.3,24.92,'14'
55.9,12.2,31.6,'14'
50.7,11,28.22,'14'
54.2,13.5,22.69,'14'
51.6,13.1,29.42,'14'
54.1,15.3,32.84,'14'
54.2,15.5,28.43,'14'
56,16.2,32.41,'14'
54.5,13.7,26.36,'14'
50.3,15.6,30.4,'14'
51.8,13.2,24.73,'14'
54.4,12.6,33.47,'14'
54,13.5,28.22,'14'
54.4,16,30.14,'14'
53.4,14.7,30.39,'14'
52,11.1,27.53,'14'
54.4,14.5,22.94,'14'
