@relation Dataset_PAPTBARS
@attribute PAP numeric
@attribute TBARS numeric
@attribute Class {'0','14','7'}
@data
29.83,0.336,'7'
27.63,0.359,'7'
27.79,0.361,'7'
27.08,0.38,'7'
30.85,0.381,'7'
30.26,0.384,'7'
24.29,0.385,'7'
29.69,0.398,'7'
27.91,0.4,'7'
28.72,0.407,'7'
22.57,0.415,'7'
26.79,0.416,'7'
26.03,0.416,'7'
23.86,0.419,'7'
27.14,0.427,'7'
25.89,0.431,'7'
26.59,0.439,'7'
26.86,0.44,'7'
27.84,0.445,'7'
29.43,0.478,'7'
29.8,0.486,'7'
22.54,0.495,'7'
29.11,0.496,'7'
24.55,0.516,'7'
25.11,0.525,'7'
24.91,0.534,'7'
27.21,0.536,'7'
29.56,0.546,'7'
27.67,0.584,'7'
26.28,0.592,'7'
25.79,0.623,'7'
28.89,0.628,'7'
28.57,0.645,'7'
26.47,0.691,'7'
27.21,0.536,'7'
26.47,0.691,'7'
29.8,0.486,'7'
27.14,0.427,'7'
29.48,0.306,'7'
30.85,0.381,'7'
26.28,0.592,'7'
24.29,0.385,'7'
28.57,0.645,'7'
27.14,0.331,'7'
28.72,0.407,'7'
24.91,0.534,'7'
26.45,0.331,'7'
27.63,0.359,'7'
27.84,0.445,'7'
29.83,0.336,'7'
25.79,0.623,'7'
28.01,0.328,'7'
22.57,0.415,'7'
24.55,0.516,'7'
25.23,0.316,'7'
28.14,0.276,'7'
25.2,0.336,'7'
27.91,0.4,'7'
29.43,0.478,'7'
22.54,0.495,'7'
25.89,0.431,'7'
31.07,0.331,'7'
30.26,0.384,'7'
28.89,0.628,'7'
27.82,0.321,'7'
29.55,0.308,'7'
27.08,0.38,'7'
33.47,0.277,'14'
33.31,0.32,'14'
33.04,0.32,'14'
29.02,0.333,'14'
29.99,0.338,'14'
22.94,0.342,'14'
22.78,0.367,'14'
28.49,0.373,'14'
24.73,0.38,'14'
24.95,0.381,'14'
31.6,0.387,'14'
25.41,0.388,'14'
23.58,0.393,'14'
22.69,0.396,'14'
27.86,0.398,'14'
27.24,0.402,'14'
31.26,0.404,'14'
26.48,0.407,'14'
30.4,0.408,'14'
21.07,0.411,'14'
20.79,0.412,'14'
28.22,0.418,'14'
27.17,0.419,'14'
28.43,0.422,'14'
26.36,0.423,'14'
28.22,0.427,'14'
29.43,0.428,'14'
29.28,0.436,'14'
27.53,0.44,'14'
25.9,0.443,'14'
29.42,0.447,'14'
24.7,0.45,'14'
28,0.462,'14'
24.42,0.464,'14'
34.52,0.474,'14'
24.92,0.478,'14'
30.37,0.494,'14'
31.57,0.498,'14'
28.75,0.499,'14'
26.45,0.5,'14'
21.93,0.501,'14'
32.73,0.512,'14'
24.9,0.519,'14'
20.02,0.527,'14'
32.41,0.528,'14'
29.42,0.541,'14'
30.1,0.549,'14'
30.14,0.618,'14'
32.84,0.667,'14'
30.39,0.707,'14'
26.11,0.744,'14'
28,0.462,'14'
29.42,0.447,'14'
25.9,0.443,'14'
21.93,0.501,'14'
20.02,0.527,'14'
26.45,0.5,'14'
24.7,0.45,'14'
28.75,0.499,'14'
24.42,0.464,'14'
27.86,0.398,'14'
20.79,0.412,'14'
26.48,0.407,'14'
30.37,0.494,'14'
29.99,0.338,'14'
24.9,0.519,'14'
28.49,0.373,'14'
27.24,0.402,'14'
21.07,0.411,'14'
30.1,0.549,'14'
34.52,0.474,'14'
33.31,0.32,'14'
33.04,0.32,'14'
29.02,0.333,'14'
32.73,0.512,'14'
23.58,0.393,'14'
24.92,0.478,'14'
31.6,0.387,'14'
28.22,0.427,'14'
22.69,0.396,'14'
29.42,0.541,'14'
32.84,0.667,'14'
28.43,0.422,'14'
32.41,0.528,'14'
26.36,0.423,'14'
30.4,0.408,'14'
24.73,0.38,'14'
33.47,0.277,'14'
28.22,0.418,'14'
30.14,0.618,'14'
30.39,0.707,'14'
27.53,0.44,'14'
22.94,0.342,'14'
