@relation Dataset_bphTBARS
@attribute b numeric
@attribute ph numeric
@attribute TBARS numeric
@attribute Class {'0','14','7'}
@data
13.2,5.83,0.501,'14'
12,5.7,0.512,'14'
14.4,5.84,0.519,'14'
10.1,5.87,0.527,'14'
16.2,5.68,0.528,'14'
13.1,5.82,0.541,'14'
17.9,5.62,0.549,'14'
16,5.81,0.618,'14'
15.3,5.59,0.667,'14'
14.7,5.88,0.707,'14'
15.5,5.8,0.744,'14'
13.5,5.89,0.462,'14'
12.7,5.82,0.447,'14'
14.4,5.84,0.443,'14'
13.2,5.83,0.501,'14'
10.1,5.87,0.527,'14'
12.5,5.8,0.5,'14'
12.6,5.9,0.45,'14'
13.3,5.69,0.499,'14'
15.4,5.77,0.464,'14'
17.3,5.7,0.398,'14'
14.2,5.58,0.412,'14'
13.1,5.98,0.407,'14'
16.4,5.61,0.494,'14'
13.1,5.7,0.338,'14'
14.4,5.84,0.519,'14'
16.4,5.72,0.373,'14'
13.2,5.7,0.402,'14'
12,6.02,0.411,'14'
17.9,5.62,0.549,'14'
14.7,5.53,0.474,'14'
12.7,5.54,0.32,'14'
16.1,5.75,0.32,'14'
14.7,5.74,0.333,'14'
12,5.7,0.512,'14'
13.9,5.7,0.393,'14'
12.3,5.63,0.478,'14'
12.2,5.75,0.387,'14'
11,5.86,0.427,'14'
13.5,5.88,0.396,'14'
13.1,5.82,0.541,'14'
15.3,5.59,0.667,'14'
15.5,5.71,0.422,'14'
16.2,5.68,0.528,'14'
13.7,5.68,0.423,'14'
15.6,5.8,0.408,'14'
13.2,5.96,0.38,'14'
12.6,5.8,0.277,'14'
13.5,6.01,0.418,'14'
16,5.81,0.618,'14'
14.7,5.88,0.707,'14'
11.1,5.9,0.44,'14'
14.5,5.63,0.342,'14'
