@relation Dataset_LaPAPph
@attribute L numeric
@attribute a numeric
@attribute PAP numeric
@attribute ph numeric
@attribute Class {'0','14','7'}
@data
50.7,5.5,27.08,5.71,'7'
54.4,4.5,33.47,5.8,'14'
53.2,5.5,33.31,5.54,'14'
52.8,5.5,33.04,5.75,'14'
51.3,5.3,29.02,5.74,'14'
54.5,6.8,29.99,5.7,'14'
54.4,4.7,22.94,5.63,'14'
54,4.2,22.78,5.8,'14'
55.9,5.8,28.49,5.72,'14'
51.8,6.8,24.73,5.96,'14'
55.3,3.5,24.95,5.98,'14'
55.9,4.1,31.6,5.75,'14'
55.1,5.8,25.41,5.76,'14'
53.4,5.9,23.58,5.7,'14'
54.2,6.7,22.69,5.88,'14'
52.3,8.8,27.86,5.7,'14'
54.1,6.3,27.24,5.7,'14'
54.6,7.6,31.26,5.7,'14'
55.4,4.1,26.48,5.98,'14'
50.3,8.4,30.4,5.8,'14'
53.2,4.6,21.07,6.02,'14'
56.5,4.6,20.79,5.58,'14'
54,4.9,28.22,6.01,'14'
51.9,5.5,27.17,5.77,'14'
54.2,6.6,28.43,5.71,'14'
54.5,4.2,26.36,5.68,'14'
50.7,4.8,28.22,5.86,'14'
51.4,6.8,29.43,5.83,'14'
54.4,5.2,29.28,5.7,'14'
52,3.9,27.53,5.9,'14'
54.3,5.3,25.9,5.84,'14'
54.9,4.5,29.42,5.82,'14'
52.1,6.3,24.7,5.9,'14'
54.7,3.8,28,5.89,'14'
54.1,6.7,24.42,5.77,'14'
52.4,6.8,34.52,5.53,'14'
52.7,7.8,24.92,5.63,'14'
56.6,8.3,30.37,5.61,'14'
56.2,5,31.57,5.67,'14'
54.9,4.4,28.75,5.69,'14'
53.2,5.7,26.45,5.8,'14'
51.9,6.1,21.93,5.83,'14'
51.1,5,32.73,5.7,'14'
52.7,7.7,24.9,5.84,'14'
50.6,4.3,20.02,5.87,'14'
56,6.1,32.41,5.68,'14'
51.6,5.7,29.42,5.82,'14'
55.8,6.5,30.1,5.62,'14'
54.4,6,30.14,5.81,'14'
54.1,5.4,32.84,5.59,'14'
53.4,6.5,30.39,5.88,'14'
52.7,7.5,26.11,5.8,'14'
54.7,3.8,28,5.89,'14'
54.9,4.5,29.42,5.82,'14'
54.3,5.3,25.9,5.84,'14'
51.9,6.1,21.93,5.83,'14'
50.6,4.3,20.02,5.87,'14'
53.2,5.7,26.45,5.8,'14'
52.1,6.3,24.7,5.9,'14'
54.9,4.4,28.75,5.69,'14'
54.1,6.7,24.42,5.77,'14'
52.3,8.8,27.86,5.7,'14'
56.5,4.6,20.79,5.58,'14'
55.4,4.1,26.48,5.98,'14'
56.6,8.3,30.37,5.61,'14'
54.5,6.8,29.99,5.7,'14'
52.7,7.7,24.9,5.84,'14'
55.9,5.8,28.49,5.72,'14'
54.1,6.3,27.24,5.7,'14'
53.2,4.6,21.07,6.02,'14'
55.8,6.5,30.1,5.62,'14'
52.4,6.8,34.52,5.53,'14'
53.2,5.5,33.31,5.54,'14'
52.8,5.5,33.04,5.75,'14'
51.3,5.3,29.02,5.74,'14'
51.1,5,32.73,5.7,'14'
53.4,5.9,23.58,5.7,'14'
52.7,7.8,24.92,5.63,'14'
55.9,4.1,31.6,5.75,'14'
50.7,4.8,28.22,5.86,'14'
54.2,6.7,22.69,5.88,'14'
51.6,5.7,29.42,5.82,'14'
54.1,5.4,32.84,5.59,'14'
54.2,6.6,28.43,5.71,'14'
56,6.1,32.41,5.68,'14'
54.5,4.2,26.36,5.68,'14'
50.3,8.4,30.4,5.8,'14'
51.8,6.8,24.73,5.96,'14'
54.4,4.5,33.47,5.8,'14'
54,4.9,28.22,6.01,'14'
54.4,6,30.14,5.81,'14'
53.4,6.5,30.39,5.88,'14'
52,3.9,27.53,5.9,'14'
54.4,4.7,22.94,5.63,'14'
