@relation Dataset_LPAPTBARS
@attribute L numeric
@attribute PAP numeric
@attribute TBARS numeric
@attribute Class {'0','14','7'}
@data
54.3,29.08,0.439,'0'
47,26.29,0.324,'0'
47.8,20.85,0.332,'0'
54.7,25.75,0.109,'0'
52.2,29.47,0.621,'0'
47.9,22.66,0.456,'0'
55.1,23.36,0.444,'0'
51.5,25.14,0.35,'0'
48.7,21.1,0.482,'0'
49.4,22.05,0.232,'0'
52.7,26.57,0.469,'0'
54.3,28.87,0.646,'0'
53.4,24.38,0.386,'0'
54.5,27.02,0.579,'0'
50.7,27.69,0.568,'0'
49.7,28.14,0.276,'7'
51.7,27.21,0.284,'7'
51,29.48,0.306,'7'
51.9,29.55,0.308,'7'
55.3,25.23,0.316,'7'
51,27.82,0.321,'7'
52.1,28.01,0.328,'7'
52.9,26.45,0.331,'7'
47.2,27.14,0.331,'7'
48.3,31.07,0.331,'7'
49.2,25.2,0.336,'7'
50.2,29.83,0.336,'7'
52.1,27.63,0.359,'7'
52.4,27.79,0.361,'7'
50.7,27.08,0.38,'7'
51.3,30.85,0.381,'7'
47.6,30.26,0.384,'7'
47.1,24.29,0.385,'7'
53,29.69,0.398,'7'
52.7,27.91,0.4,'7'
53.9,28.72,0.407,'7'
48.7,22.57,0.415,'7'
48.8,26.79,0.416,'7'
53.7,26.03,0.416,'7'
52.7,23.86,0.419,'7'
53.8,27.14,0.427,'7'
52.3,25.89,0.431,'7'
50.9,26.59,0.439,'7'
51.5,26.86,0.44,'7'
48.5,27.84,0.445,'7'
51.2,29.43,0.478,'7'
52.5,29.8,0.486,'7'
53.6,22.54,0.495,'7'
51.8,29.11,0.496,'7'
49,24.55,0.516,'7'
53.2,25.11,0.525,'7'
55.7,24.91,0.534,'7'
52.8,27.21,0.536,'7'
51,29.56,0.546,'7'
53.9,27.67,0.584,'7'
51.2,26.28,0.592,'7'
55.1,25.79,0.623,'7'
52.1,28.89,0.628,'7'
49.9,28.57,0.645,'7'
51.5,26.47,0.691,'7'
52.8,27.21,0.536,'7'
51.5,26.47,0.691,'7'
52.5,29.8,0.486,'7'
53.8,27.14,0.427,'7'
51,29.48,0.306,'7'
51.3,30.85,0.381,'7'
51.2,26.28,0.592,'7'
47.1,24.29,0.385,'7'
49.9,28.57,0.645,'7'
47.2,27.14,0.331,'7'
53.9,28.72,0.407,'7'
55.7,24.91,0.534,'7'
52.9,26.45,0.331,'7'
52.1,27.63,0.359,'7'
48.5,27.84,0.445,'7'
50.2,29.83,0.336,'7'
55.1,25.79,0.623,'7'
52.1,28.01,0.328,'7'
48.7,22.57,0.415,'7'
49,24.55,0.516,'7'
55.3,25.23,0.316,'7'
49.7,28.14,0.276,'7'
49.2,25.2,0.336,'7'
52.7,27.91,0.4,'7'
51.2,29.43,0.478,'7'
53.6,22.54,0.495,'7'
52.3,25.89,0.431,'7'
48.3,31.07,0.331,'7'
47.6,30.26,0.384,'7'
52.1,28.89,0.628,'7'
51,27.82,0.321,'7'
51.9,29.55,0.308,'7'
50.7,27.08,0.38,'7'
54.4,33.47,0.277,'14'
53.2,33.31,0.32,'14'
52.8,33.04,0.32,'14'
51.3,29.02,0.333,'14'
54.5,29.99,0.338,'14'
54.4,22.94,0.342,'14'
54,22.78,0.367,'14'
55.9,28.49,0.373,'14'
51.8,24.73,0.38,'14'
55.3,24.95,0.381,'14'
55.9,31.6,0.387,'14'
55.1,25.41,0.388,'14'
53.4,23.58,0.393,'14'
54.2,22.69,0.396,'14'
52.3,27.86,0.398,'14'
54.1,27.24,0.402,'14'
54.6,31.26,0.404,'14'
55.4,26.48,0.407,'14'
50.3,30.4,0.408,'14'
53.2,21.07,0.411,'14'
56.5,20.79,0.412,'14'
54,28.22,0.418,'14'
51.9,27.17,0.419,'14'
54.2,28.43,0.422,'14'
54.5,26.36,0.423,'14'
