"acc.mean" "acc.sd" "err.mean" "err.sd" "prec.mean" "prec.sd" "recall.mean" "recall.sd" "fsc.mean" "fsc.sds" "classifier"
"1" 0.96 0 0.04 0 0.961 0 0.96 0 0.96 0 "cl.nn.1"
"2" 0.96 0 0.04 0 0.961 0 0.96 0 0.96 0 "cl.nn.3"
"3" 0.848 0 0.152 0 0.856 0 0.851 0 0.85 0 "cl.nn.5"
"4" 0.84 0 0.16 0 0.848 0 0.844 0 0.842 0 "cl.nn.7"
"5" 0.824 0 0.176 0 0.834 0 0.829 0 0.824 0 "cl.nn.9"
"6" 0.808 0 0.192 0 0.818 0 0.812 0 0.808 0 "cl.nn.11"
"7" 0.804 0 0.196 0 0.814 0 0.811 0 0.804 0 "cl.nn.13"
"8" 0.796 0 0.204 0 0.805 0 0.802 0 0.795 0 "cl.nn.15"
