,accuracy,,Error,,Precision,,Recall,,Fscore,
classifier,mean,sd,mean,sd,mean,sd,mean,sd,mean,sd
J48,0.844362667,0.015064157,0.155637333,0.015064157,0.846025667,0.014828935,0.859835333,0.015765504,0.843531,0.015146563
NB,0.780278333,0.005885398,0.219721667,0.005885398,0.782028667,0.006101931,0.79663,0.007196238,0.780876,0.006056454
3-NN,0.937936667,0.011045166,0.062063333,0.011045166,0.939534,0.011112032,0.945147667,0.010068044,0.938107,0.011094212
RF,0.946471667,0.01153722,0.053528333,0.01153722,0.946656,0.011461849,0.953560333,0.009563758,0.946127,0.01158424
SVM,0.823760333,0.010114704,0.176239667,0.010114704,0.827192667,0.010345201,0.834688667,0.010566524,0.820833,0.010626297
MLP,0.823648667,0.012810122,0.176351333,0.012810122,0.827151333,0.012908827,0.839318333,0.01310958,0.822445,0.013287132
