,J48,NB,3NN,RF,SVM,MLP,FUZZY.W,FUZZY.CHI
1,16,30,4,4,12,19,4,4
2,0,0,0,0,0,0,0,0
3,28,0,0,3,0,0,0,0
4,23,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,1,1
8,0,0,0,0,0,0,0,0
9,0,5,1,0,0,0,1,1
10,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0
12,1,30,1,0,3,9,1,1
13,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0
17,0,3,0,0,0,0,0,0
18,0,0,1,0,0,0,1,0
19,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0
21,0,30,0,0,0,0,0,0
22,0,30,0,0,0,11,0,0
23,0,0,0,0,0,0,0,0
24,20,7,4,4,1,0,4,4
25,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0,0
32,27,0,0,0,0,2,0,0
33,0,0,0,0,0,0,0,0
34,0,0,3,0,0,1,3,3
35,17,30,0,3,30,30,0,0
36,15,0,0,0,0,0,0,0
37,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0
39,0,0,0,0,0,1,0,0
40,0,0,0,0,0,0,0,0
41,0,0,0,0,2,18,23,5
42,0,28,4,2,1,0,4,0
43,0,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0
46,0,0,0,0,5,18,27,4
47,29,0,0,0,0,2,0,0
48,0,30,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0
51,0,0,0,0,0,0,0,0
52,0,0,0,0,0,0,0,0
53,0,0,0,0,0,0,0,0
54,0,0,0,0,0,0,0,0
55,0,0,0,0,0,0,0,0
56,0,0,3,0,0,0,3,3
57,0,0,0,0,0,0,0,0
58,1,30,1,0,3,12,1,1
59,0,0,0,0,0,0,0,0
60,0,0,0,0,0,0,0,0
61,0,26,4,2,1,0,4,0
62,0,0,0,0,0,0,0,0
63,0,0,1,0,0,0,1,0
64,0,0,0,0,0,0,0,0
65,0,30,0,0,0,7,0,0
66,0,5,1,0,0,0,1,1
67,0,0,0,0,0,0,0,0
68,25,30,4,4,12,16,4,4
69,0,0,0,0,0,0,0,0
70,0,0,0,0,0,0,0,0
71,26,4,4,4,1,0,4,4
72,0,0,0,0,0,0,0,0
73,0,0,0,0,0,0,0,0
74,16,0,0,3,0,0,0,0
75,0,0,0,0,0,0,0,0
76,0,0,0,0,0,2,0,0
77,0,0,0,0,0,0,0,0
78,22,0,0,0,0,0,0,0
79,18,30,0,3,30,30,0,0
80,0,0,0,0,0,0,3,0
81,4,0,26,0,0,0,1,0
82,9,0,0,0,0,0,1,1
83,2,0,0,2,0,0,0,0
84,8,30,0,0,30,22,0,0
85,1,0,0,0,0,1,0,0
86,1,0,0,0,0,0,0,0
87,1,0,0,0,0,0,0,0
88,0,0,0,0,0,0,0,0
89,0,0,0,0,0,8,0,0
90,2,0,0,0,0,0,0,0
91,2,0,1,0,0,0,0,0
92,11,0,2,1,0,0,29,2
93,30,30,30,30,30,26,26,26
94,5,0,1,0,0,0,0,0
95,4,0,0,0,0,0,0,0
96,0,0,0,0,0,0,0,0
97,0,0,0,0,0,0,0,0
98,7,24,0,0,2,5,0,0
99,3,0,0,0,0,6,0,0
100,8,30,4,4,30,18,2,4
101,0,0,0,0,0,0,4,3
102,0,0,0,0,0,0,0,0
103,24,30,30,30,30,29,30,30
104,18,0,2,0,0,7,0,0
105,1,0,0,0,1,0,0,0
106,0,0,0,0,0,0,0,0
107,23,0,30,24,0,1,30,30
108,20,0,0,26,10,1,0,0
109,0,0,0,0,0,0,0,0
110,9,30,0,0,19,4,0,0
111,2,0,0,0,0,4,0,0
112,6,30,1,1,30,27,1,1
113,21,1,0,2,0,0,1,0
114,0,0,0,0,0,3,0,0
115,12,0,0,18,23,26,0,0
116,2,30,0,2,30,24,10,10
117,1,0,0,0,0,0,2,0
118,29,30,30,30,30,27,30,30
119,24,27,0,11,4,0,30,30
120,2,0,0,0,19,0,0,0
121,5,30,4,4,30,28,27,26
122,5,0,0,0,0,0,0,0
123,0,0,0,0,0,0,1,4
124,7,30,5,6,30,15,0,0
125,0,0,0,0,0,0,2,0
126,7,30,5,6,29,20,0,0
127,2,0,0,0,0,3,0,0
128,1,0,0,0,2,0,0,0
129,8,0,0,0,0,0,1,1
130,6,0,0,0,0,0,0,0
131,2,0,0,0,19,0,0,0
132,0,0,0,0,0,0,0,0
133,0,0,0,0,0,0,1,4
134,0,0,0,0,0,0,0,0
135,6,30,4,4,30,13,2,4
136,3,30,0,2,30,29,4,2
137,1,0,0,0,0,0,0,0
138,12,0,2,1,0,1,28,2
139,0,0,0,0,0,0,0,0
140,2,0,1,0,0,0,0,0
141,7,30,4,4,30,28,27,28
142,1,0,0,0,0,0,0,0
143,0,0,0,0,0,0,4,3
144,0,0,0,0,0,5,0,0
145,9,30,0,0,30,24,0,0
146,0,0,0,0,0,0,3,0
147,2,0,0,0,0,0,0,0
148,5,0,0,0,0,4,0,0
149,4,30,0,0,21,4,0,0
150,3,30,1,1,30,28,1,1
151,0,0,0,0,0,0,0,0
152,0,0,0,0,0,9,0,0
153,0,0,0,0,0,0,0,0
154,4,0,0,0,0,0,0,0
155,1,0,0,0,0,0,0,0
156,3,0,0,2,0,0,0,0
157,1,0,1,0,0,0,0,0
158,0,0,0,0,0,0,0,0
159,0,0,0,2,0,0,0,0
160,2,0,0,0,0,0,1,3
161,7,30,1,1,30,30,1,1
162,0,0,0,0,0,0,0,0
163,2,30,2,2,30,30,2,3
164,12,0,30,0,5,3,30,30
165,5,0,0,0,0,0,0,0
166,0,0,0,0,0,0,0,0
167,3,0,0,0,0,3,0,0
168,24,0,0,0,0,0,0,0
169,29,0,30,30,0,5,6,4
170,3,0,4,4,26,21,4,4
171,0,0,0,0,0,0,1,0
172,3,0,0,0,0,0,0,0
173,2,0,0,0,0,3,0,0
174,0,0,0,0,0,0,0,0
175,0,0,0,0,0,0,0,0
176,2,0,0,0,0,0,0,0
177,6,0,1,0,0,0,0,0
178,18,30,4,4,29,30,0,4
179,2,0,0,0,0,0,0,0
180,28,30,30,30,30,30,30,30
181,1,0,1,0,0,0,0,0
182,20,28,7,7,30,29,7,7
183,7,30,3,4,30,28,4,4
184,12,2,30,13,21,3,29,30
185,1,0,0,0,1,2,0,0
186,6,30,3,3,30,28,3,3
187,6,0,0,0,1,13,1,0
188,0,29,0,0,0,0,6,6
189,2,30,0,1,0,0,0,0
190,2,0,0,0,0,1,0,0
191,1,0,3,0,0,9,3,3
192,0,0,0,0,0,0,0,0
193,30,0,2,2,0,0,0,0
194,0,0,0,0,0,0,0,0
195,0,0,0,0,0,0,0,0
196,5,0,2,0,12,4,0,0
197,11,30,5,5,27,10,0,5
198,2,0,0,0,0,3,0,0
199,10,26,1,1,25,9,0,1
200,5,0,0,0,0,0,0,4
201,8,14,2,2,1,3,2,2
202,0,0,0,0,0,0,0,0
203,4,30,3,3,30,30,0,3
204,0,0,0,0,0,0,0,0
205,0,0,0,0,0,0,0,0
206,0,0,0,0,0,0,0,2
207,3,0,0,0,0,0,0,0
208,10,0,27,10,0,20,1,23
209,2,0,0,0,0,2,0,0
210,0,28,0,0,0,0,6,6
211,6,0,0,0,0,14,2,1
212,1,0,0,0,0,5,0,0
213,12,11,2,2,1,3,2,2
214,8,30,5,5,23,13,0,5
215,1,30,0,1,0,1,0,0
216,8,0,2,0,11,7,0,0
217,3,0,3,0,0,13,3,3
218,4,0,0,0,0,0,0,0
219,22,30,4,4,29,29,0,4
220,0,0,0,0,0,0,0,0
221,0,0,0,0,0,0,0,0
222,0,0,0,0,0,0,0,0
223,3,0,0,0,0,0,0,4
224,5,0,0,0,0,0,0,0
225,4,0,0,0,0,2,0,0
226,4,0,1,0,0,1,0,0
227,0,0,0,0,0,0,0,0
228,0,0,0,0,0,0,0,0
229,0,0,0,2,0,0,0,0
230,2,0,0,0,0,0,1,3
231,15,30,1,1,30,30,1,1
232,12,23,1,1,29,11,0,1
233,5,0,4,4,26,19,4,4
234,30,0,2,2,0,0,0,0
235,26,0,0,0,0,0,0,0
236,8,30,3,4,30,30,4,5
237,0,0,0,0,0,0,1,0
238,1,30,3,3,30,29,0,3
239,0,0,0,0,0,0,0,2
240,0,0,1,0,0,0,0,0
241,0,0,0,0,0,0,0,0
242,25,30,7,7,30,30,7,7
243,3,0,0,0,0,0,0,0
244,0,0,0,0,0,0,0,0
245,0,0,0,0,0,0,0,0
246,0,0,0,0,0,0,0,0
247,0,0,0,0,0,0,0,0
248,3,0,0,0,0,0,0,0
249,7,30,3,3,30,29,3,3
250,2,30,2,2,30,30,2,2
