"acc.mean" "acc.sd" "err.mean" "err.sd" "prec.mean" "prec.sd" "recall.mean" "recall.sd" "fsc.mean" "fsc.sds" "classifier"
"1" 0.852 0 0.148 0 0.8548 0 0.8518 0 0.8528 0 "cl.c45"
"2" 0.784 0 0.216 0 0.7857 0 0.7891 0 0.7872 0 "cl.nb"
"3" 0.96 0 0.04 0 0.9607 0 0.96 0 0.9603 0 "cl.nn"
"4" 0.964666666666667 0.00349712525616577 0.0353333333333333 0.00349712525618844 0.964176666666667 0.00338777552214116 0.96578 0.00364610325767984 0.964736666666667 0.00345627698176983 "cl.rf"
"5" 0.816 0 0.184 0 0.8201 0 0.8139 0 0.8141 0 "cl.svm"
"6" 0.836 0 0.164 0 0.841 0 0.8387 0 0.838 0 "cl.mlp"
