"acc.mean" "acc.sd" "err.mean" "err.sd" "prec.mean" "prec.sd" "recall.mean" "recall.sd" "fsc.mean" "fsc.sds" "classifier"
"1" 0.852 0 0.148 0 0.855 0 0.852 0 0.853 0 "cl.c45"
"2" 0.784 0 0.216 0 0.786 0 0.789 0 0.787 0 "cl.nb"
"3" 0.72 0 0.28 0 0.727 0 0.721 0 0.723 0 "cl.nn"
"4" 0.9384 0.00531491071063438 0.0616 0.00531491071063932 0.939266666666667 0.00503048179863533 0.937733333333333 0.0053364933167458 0.938366666666667 0.00528160982076231 "cl.rf"
"5" 0.8 0 0.2 0 0.803 0 0.798 0 0.8 0 "cl.svm"
"6" 0.824 0 0.176 0 0.829 0 0.826 0 0.826 0 "cl.mlp"
