@relation 'Oxidação'

@attribute L numeric
@attribute a numeric
@attribute b numeric
@attribute PAP numeric
@attribute ph numeric
@attribute TBARS numeric
@attribute Dia {0,7,14,21}

@data
54.3667,5.5667,10.5,29.1137,5.81,0.7432,0
53.4333,3.0333,9.9667,34.9747,5.78,0.5665,0
57.4333,7.1667,12.2333,34.8927,5.63,0.5807,0
53.8,4.7667,10.5,31.4806,5.71,0.6362,0
54.5333,6.4333,11.4667,35.7614,5.62,0.6621,0
57.7,6.2667,12.1333,37.7714,5.63,0.6421,0
54.2667,7.7333,12.2,33.0751,5.71,0.8411,0
53.1333,3.9667,9.5667,31.1841,5.79,0.6645,0
56.3,9.7667,12.8333,31.0449,5.66,0.4812,0
57.8,6.7,13.0333,32.93,5.7,0.4186,0
54.9,8.9,12.7333,36.9025,5.61,0.7976,0
53.8667,5.7333,10.4,29.554,5.68,0.637,0
57.0333,8.0667,12.9667,30.2633,5.63,0.4622,0
55.5333,5.0333,11.0333,35.0595,5.66,0.6147,0
54.6333,4.8333,11.3667,29.9921,5.75,0.3113,0
52.4667,3.9667,9.4667,34.9651,5.57,0.3852,0
55.2667,8.0333,12.1333,35.823,5.36,0.3985,0
53.7333,4.9,10.5,31.44,5.51,0.298,0
51.8667,4.4667,9.7667,33.0439,5.53,0.2665,0
54.0333,5.3667,10.7333,35.5741,5.62,0.2459,0
52.1,5.4,9.8667,33.1358,5.54,0.6752,0
54.7333,5,10.5333,34.4789,5.62,0.401,0
58.9,7.5667,12.6333,38.7596,5.5,0.3811,0
51.7,6.1667,10.7,33.1945,5.54,0.4679,0
51.6333,8.2,11.1333,37.6006,5.51,0.2675,0
53.3333,6.3333,11.2333,35.9609,5.51,0.3842,0
56.8,5.1,11.7667,29.7696,5.49,0.3013,0
53.5,4.4667,10.8333,31.6453,5.54,0.535,0
55.4,6,11.9333,30.838,5.57,0.4641,0
52.2,5.3,10.4333,40.2343,5.53,0.3321,0
