@relation Carne
@attribute 'ph' real
@attribute 'L1' real
@attribute 'L2' real
@attribute 'L3' real
@attribute 'XL' real
@attribute 'a1' real
@attribute 'a2' real
@attribute 'a3' real
@attribute 'Xa' real
@attribute 'b1' real
@attribute 'b2' real
@attribute 'b3' real
@attribute 'Xb' real
@attribute 'PAP' real
@attribute 'TMP' real
@attribute 'Type' { 'n14', '14'}
@data
5.48,48.2,54,52.4,51.5,3,2.4,4.4,3.3,10.3,12.2,13.3,11.9,25.14,0.350,n14
5.54,46.5,46.3,49.8,47.5,8.8,4.9,6.4,6.7,13.8,11.1,13.1,12.7,21.65,0.249,n14
5.58,52.7,48.5,51.1,50.8,5.4,3.3,4,4.2,13.4,10.7,11.8,12.0,22.08,0.222,n14
5.61,45.2,52.2,48.7,48.7,4.7,4.2,5.3,4.7,10.7,12.2,12.7,11.9,21.10,0.482,n14
5.73,50.4,49.3,48.5,49.4,3.9,1.9,2.2,2.7,12.8,10.2,9.8,10.9,22.05,0.232,n14
5.4,51.6,53.8,52.6,52.7,5.3,4.2,3,4.2,13.8,12.7,12.6,13.0,26.57,0.469,n14
5.59,54.2,53.2,55.4,54.3,4.6,3.4,2.8,3.6,14.8,12.8,13,13.5,28.87,0.646,n14
5.56,51.3,53.7,55.3,53.4,7.7,5.7,4.7,6.0,14.8,14.5,14.8,14.7,24.38,0.386,n14
5.83,50.2,43.6,50.0,47.9,3.3,4.2,2.8,3.4,11.7,9.8,11.1,10.9,22.09,0.128,n14
5.57,54.7,55,53.7,54.5,3.3,5.5,3,3.9,14.1,14,12.5,13.5,27.02,0.579,n14
5.75,51.1,51.8,49.3,50.7,4.3,3.5,4.6,4.1,13,11.8,11.8,12.2,27.69,0.568,n14
5.64,52.0,56,50.1,52.7,1.3,3.1,1.3,1.9,10.6,13.5,9.7,11.3,22.90,0.387,n14
6.09,45.0,44.5,46.4,45.3,4.9,5.7,6.1,5.6,10.1,11.1,11.0,10.7,24.15,0.414,n14
5.84,52.7,52.8,52.8,52.8,3.4,6.9,5.0,5.1,12.6,14.9,13.9,13.8,27.21,0.536,n14
5.61,52.6,50.4,51.6,51.5,4.8,6.1,6.8,5.9,13.2,12.8,13.5,13.2,26.47,0.691,n14
5.63,55.2,54.0,53.4,54.2,10.0,6.1,9.1,8.4,17.9,14.2,16.7,16.3,31.41,0.548,n14
5.87,49.9,54.0,53.6,52.5,4.1,3.3,5.3,4.2,12.4,13.9,11.5,12.6,29.80,0.486,n14
5.74,52.7,52.1,56.7,53.8,6.0,3.1,3.6,4.2,13.5,11.8,14.0,13.1,27.14,0.427,n14
5.86,53.0,50.5,56.0,53.2,5.7,4.7,3.5,4.6,13.9,10.8,13.5,12.7,25.11,0.525,n14
5.88,54.1,48.5,50.5,51.0,6.3,4.5,4.7,5.2,15.2,11.3,12.0,12.8,29.48,0.306,n14
5.75,49.1,52.5,52.3,51.3,3.2,4.5,5.3,4.3,10.8,12.9,12.6,12.1,30.85,0.381,n14
5.79,52.4,47.9,53.3,51.2,7.5,7.1,6.8,7.1,13.9,11.1,14.7,13.2,26.28,0.592,n14
5.85,45.1,46.2,49.9,47.1,5.2,4.9,3.5,4.5,9.8,9.4,10.9,10.0,24.29,0.385,n14
6.07,55.2,56.4,56.5,56.0,4.9,3.6,6.3,4.9,13.8,13.1,14.4,13.8,24.93,0.610,n14
5.77,45.4,51.5,52.8,49.9,5.9,5.1,5.1,5.4,10.4,12.6,12.8,11.9,28.57,0.645,n14
5.71,59.0,55.4,54.8,56.4,3.2,3.8,3.1,3.4,14.6,13.7,13.1,13.8,28.17,0.382,n14
5.86,43.4,51.6,46.5,47.2,5.0,7.2,5.3,5.8,9.1,14.0,10.4,11.2,27.14,0.331,n14
5.63,53.0,56.3,52.5,53.9,3.6,3.3,5.7,4.2,13.4,14.4,14.0,13.9,28.72,0.407,n14
5.69,55.2,54.6,57.2,55.7,5.7,5.7,6.3,5.9,13.6,15.2,13.9,14.2,24.91,0.534,n14
5.70,51.6,51.4,55.9,53.0,9.7,7.3,6.7,7.9,17.9,15.7,16.5,16.7,28.70,0.457,n14
5.77,52.6,54.6,51.9,53.0,4.6,3.5,5.7,4.6,13.5,13.5,14.7,13.9,29.69,0.398,n14
5.82,53.9,52.2,52.7,52.9,3.9,6.2,4.4,4.8,12.2,13.5,13.0,12.9,26.45,0.331,n14
5.71,55.2,59.0,53.0,55.7,7.2,7.0,4.4,6.2,15.3,17.1,13.6,15.3,33.48,0.448,n14
5.79,51.8,53.8,50.7,52.1,5.1,7.0,5.2,5.8,11.4,14.3,11.8,12.5,27.63,0.359,n14
5.84,49.0,49.8,46.8,48.5,9.4,4.6,7.2,7.1,12.6,11.7,10.6,11.6,27.84,0.445,n14
5.82,51.5,51.6,51.3,51.5,8.1,5.9,5.8,6.6,13.7,13.2,13.9,13.6,26.86,0.440,n14
5.80,54.6,53.7,52.9,53.7,5.2,6.6,8.0,6.6,12.5,15.9,15.0,14.5,26.03,0.416,n14
5.88,51.1,51.0,48.5,50.2,5.4,4.1,4.7,4.7,13.0,11.6,10.9,11.8,29.83,0.336,n14
5.82,49.5,53.4,52.2,51.7,4.5,5.2,5.2,5.0,11.7,13.2,12.7,12.5,27.21,0.284,n14
5.55,52.7,51.4,53.5,52.5,7.0,6.8,4.3,6.0,16.1,14.4,13.8,14.8,29.65,0.559,n14
5.75,50.3,57.1,58.0,55.1,5.5,6.7,5.4,5.9,12.1,16.1,15.6,14.6,25.79,0.623,n14
5.66,53.1,50.7,51.5,51.8,6.0,7.2,4.4,5.9,11.9,12.9,14.5,13.1,29.11,0.496,n14
5.69,46.9,48.0,50.7,48.5,6.0,7.7,5.0,6.2,13.7,14.3,13.2,13.7,33.01,0.535,n14
5.75,54.3,51.6,50.4,52.1,4.6,4.8,3.5,4.3,13.9,13.9,11.5,13.1,28.01,0.328,n14
5.86,44.9,51.6,49.7,48.7,2.3,4.6,6.4,4.4,8.4,12.2,13.1,11.2,22.57,0.415,n14
5.79,51.4,51.1,55.7,52.7,4.4,4.1,4.9,4.5,12.6,11.9,13.6,12.7,23.86,0.419,n14
