@relation 'Base de dados - Análises tradicionais'

@attribute L numeric
@attribute a numeric
@attribute b numeric
@attribute PAP numeric
@attribute ph numeric
@attribute TBARS numeric
@attribute Dia {0,7,14}

@data
52.2,5.3,10.4333,40.2343,5.53,0.3321,0
51.3,7.1667,11.0667,34.6561,5.52,0.5698,0
53.5333,6,11.3,38.788,5.6,0.5751,0
56.3,2.9,9.6333,34.6709,5.5,0.6061,0
53.5333,6.0667,10.9667,33.5678,5.5,0.4243,0
55.5,2.8333,9.9667,33.5786,5.48,0.4262,0
58.2667,5.0333,12.3333,34.6807,5.35,0.4153,0
55.0667,4.2667,11.4,30.7243,5.5,0.6236,0
53.6667,4.4333,10.7667,32.2924,5.44,0.6764,0
57.1333,5.2333,11.6667,35.3417,5.43,0.3954,0
52.9,5.7333,11.3,31.0299,5.52,0.6003,0
54.9,6.1667,11.8333,35.4647,5.45,0.4534,0
55.9667,5.9667,11.8,35.0905,5.33,0.4068,0
54.4333,6.2333,11.8,35.8028,5.45,0.3933,0
56.6667,7.9333,12.7333,39.1106,5.38,0.5153,0
58.8333,8.4,13.3333,34.1268,5.4,0.6334,0
58.9,8,12.7333,36.4,5.41,0.3348,0
56.8667,3.6,10.3,35.7802,5.45,0.3426,0
56.8333,4.9333,11.4667,32.727,5.38,0.4135,0
55.8,3.9333,10.8333,33.5659,5.45,0.4436,0
54.7667,6.7,10.7333,31.4394,5.63,0.286,0
58.7333,7.8667,13.1333,34.2824,5.43,0.34,0
50.7,4.4333,9.1333,32.6629,5.66,0.2836,0
54.3667,7.6667,12.1333,38.4037,5.39,0.3951,0
55.3,6.2667,11.1,36.906,5.34,0.3428,0
51.1,6.2,14.9,29.74,5.61,0.565,7
50.9,5.6,13.6,30.14,5.85,0.599,7
48.8,7,13.3,24.01,5.91,0.588,7
50.9,6.9,13.5,25.11,5.66,0.575,7
55,4.6,13.5,24.54,5.74,0.549,7
50.2,5.6,12.6,26.83,5.77,0.422,7
52.8,5.1,13.8,27.21,5.84,0.536,7
51.4,7.3,14.7,27.87,5.61,0.572,7
53.8,7.7,16.1,28.68,5.61,0.572,7
52.5,4.2,12.6,29.8,5.87,0.486,7
53.8,4.2,13.1,27.14,5.74,0.427,7
53.2,4.6,12.7,25.11,5.86,0.525,7
51,5.2,12.8,29.48,5.88,0.306,7
48.5,2.7,9.3,28.49,5.87,0.358,7
51.3,4.3,12.1,30.85,5.75,0.381,7
51.2,7.1,13.2,26.28,5.79,0.592,7
47.1,4.5,10,24.29,5.85,0.385,7
52.2,4.5,12.4,28.5,5.66,0.399,7
49.9,6.2,11.5,23.95,5.82,0.315,7
49.9,5.4,11.9,28.57,5.77,0.645,7
56.4,3.4,13.8,28.17,5.71,0.382,7
47.2,5.8,11.2,27.14,5.86,0.331,7
53.9,4.2,13.9,28.72,5.63,0.407,7
53.6,5.5,14.3,30.61,5.63,0.515,7
55.6,4.2,12.9,27.27,5.73,0.393,7
52.5,6.4,14.7,27.3,5.61,0.565,7
55,3.8,15.4,28.57,5.54,0.614,7
55.7,5.9,14.2,24.91,5.69,0.534,7
53,4.6,13.9,29.69,5.77,0.398,7
52.9,4.8,12.9,26.45,5.82,0.331,7
55.7,6.2,15.3,33.48,5.71,0.448,7
52.1,5.8,12.5,27.63,5.79,0.359,7
48.5,7.1,11.6,27.84,5.84,0.445,7
51.5,6.6,13.6,26.86,5.82,0.44,7
53.7,6.6,14.5,26.03,5.8,0.416,7
53,5.8,15.2,28.86,5.75,0.398,7
50.2,4.7,11.8,29.83,5.88,0.336,7
51.7,5,12.5,27.21,5.82,0.284,7
52.5,6,14.8,29.65,5.55,0.559,7
55.1,5.9,14.6,25.79,5.75,0.623,7
51.8,5.9,13.1,29.11,5.66,0.496,7
48.5,6.2,13.7,33.01,5.69,0.535,7
50.1,6.5,12.3,30.84,5.7,0.469,7
52.1,4.3,13.1,28.01,5.75,0.328,7
52.7,4.5,12.7,23.86,5.79,0.419,7
49,6,10.5,24.55,5.9,0.516,7
55.3,5,14.2,25.23,5.75,0.316,7
49.7,5.4,11.7,28.14,5.95,0.276,7
49.2,5.8,11.9,25.2,5.72,0.336,7
52.7,4.7,11.9,27.91,5.82,0.4,7
52.3,3.9,12.2,24.7,5.7,0.403,7
48.8,6,12.1,26.79,5.77,0.416,7
49.9,7.4,13.3,23.47,5.81,0.442,7
54.4,4.6,14.1,30.22,5.71,0.506,7
53.4,7.5,16.2,29.42,5.77,0.432,7
51.2,6.4,14.8,29.43,5.71,0.478,7
50.1,6,15.4,30.08,5.59,0.469,7
56.1,5.1,14,25.05,5.62,0.519,7
52.4,7.2,15.6,27.79,5.75,0.361,7
52.1,5,13.6,28.63,5.8,0.381,7
49.4,7.3,12.8,23.32,5.81,0.393,7
51,4.4,12.1,29.56,5.6,0.546,7
50.9,5.9,14,26.04,5.61,0.492,7
48.8,7.4,13.5,28.16,5.61,0.486,7
52.3,4.6,12.2,25.89,5.79,0.431,7
48.2,8.1,13.2,25.93,5.75,0.442,7
50.5,3.6,11.6,28.34,5.77,0.615,7
55.2,4.6,14.3,29.03,5.77,0.497,7
48.3,7.3,10.8,31.07,5.88,0.331,7
47.6,4.7,11.1,30.26,5.9,0.384,7
50.9,3.5,10.5,26.59,5.84,0.439,7
